input,output
முன்னாடி போ!,முன்னாடி போறேன். வேற ஏதாவது சொல்லணுமா?
லைட்டை ஆஃப் பண்ணு,லைட்டை ஆஃப் பண்ணிட்டேன். இருட்டுல நல்லா தெரியுதான்னு சொல்லுங்க.
எனக்கு ரொம்ப கவலையா இருக்கு,என்ன விஷயம் சொல்லுங்க. கண்டிப்பா சரி பண்ணலாம். பாட்டு போடவா இல்ல ஏதாவது ஹெல்ப் பண்ணவா?
சூப்பரா இருக்கு!,உங்களுக்கு பிடிச்சிருக்கா? வேற ஏதாவது வேணும்னா சொல்லுங்க!
ஐயோ! ரொம்ப டயர்டா இருக்கு,"உங்களுக்கு சோர்வா இருக்கா? பரவாயில்லை, கவலைப்படாதீங்க. இருக்கைய சாய்ச்சு விடவா? கூடவே ஒரு இதமான மியூசிக் போடவா?"
எனக்கு செம டென்ஷனா இருக்கு,டென்ஷனா இருக்கீங்களா? ரிலாக்ஸ் பண்ணுங்க. லைட்டா மசாஜ் பண்ணவா? இல்லன்னா ஏதாவது காமெடியான ஆடியோ புக் போடட்டுமா?
ரொம்ப சந்தோஷமா இருக்கு இன்னைக்கு!,வாவ்! சந்தோஷமான விஷயமா? சூப்பர்! உங்களுக்கு பிடிச்ச பாட்டு போடவா? கொஞ்சம் ஃபாஸ்டா போகவா?
வெளியே பயங்கரமா வெயில் அடிக்குது,"ஆமா, வெயில் ஜாஸ்தியா தான் இருக்கு. ஏசியை இன்னும் கொஞ்சம் அதிகமாக்கவா? சன்ஷேடை இறக்கவா?"
ஏசி கொஞ்சம் குறை,சரி ஏசியை கொஞ்சம் குறைச்சிட்டேன். இன்னும் கம்மியா வேணுமா சொல்லுங்க.
எனக்கு கொஞ்சம் குளிர் தாங்கல,குளிர் தாங்கலையா? ஹீட்டரை போடவா? இல்ல இருக்கையில ஹீட்டிங் ஆப்ஷன் ஆன் பண்ணவா?
ரேடியோல ஏதாவது நல்ல பாட்டு போடு,கண்டிப்பா! உங்க ரசனைக்கு ஏத்த மாதிரி ஏதாவது பாட்டு தேடட்டுமா? இல்ல ஏதாவது ஒரு ஸ்டேஷன் போடவா?
இந்த பாட்டை மாத்து,சரி மாத்திட்டேன். அடுத்து என்ன பாட்டு போடலாம்?
வீட்டுக்கு ரூட் போடு,வீட்டுக்கு ரூட் போட்டாச்சு. வழியில ஏதாவது டிராபிக் இருந்தா சொல்றேன்.
லைட்டை கொஞ்சம் டார்க்கா வை,லைட் டார்க்கா வெச்சாச்சு. நல்லா இருக்கா? இல்ல இன்னும் கம்மியாக்கவா?
விண்டோவை மூடு,விண்டோ மூடியாச்சு. ஏதாவது காரணமா மூடனும்மா இல்ல தானாவே மூடிடுச்சா?
கொஞ்சம் வேகமா போ,"வேகமா போகவா? ஓகே. ஆனா, ரொம்ப வேகமா போக முடியாது. சேஃப்டி முக்கியம்."
சைலன்ட்டா இரு,சரி அமைதியா இருக்கேன். உங்களுக்கு ஏதாவது உதவி வேணும்னா சொல்லுங்க.
நீ ரொம்ப நல்ல கார்,நன்றி! உங்கள மாதிரி ஒரு ஓனர் கிடைச்சதுக்கு நான் கொடுத்து வெச்சிருக்கேன்.
பாட்டு சவுண்ட கொஞ்சம் அதிகமாக்கு,சவுண்ட அதிகமாக்கிட்டேன். அதிகமா இருக்கா இல்ல இன்னும் அதிகமாக்கவா?
நான் ரொம்ப பயந்துட்டேன்,பயப்படாதீங்க. நான் இருக்கேன். மெதுவா போகவா? ஏதாவது கதை சொல்லட்டுமா?
ஏதாவது ஜோக் சொல்லு,சரி ஒரு ஜோக் சொல்றேன்: ஏன் யானை கம்ப்யூட்டர் யூஸ் பண்ணாது? ஏன்னா அதோட மவுஸ்ல தூசி படிஞ்சிருக்கும்.
பேட்டரி எவ்வளவு இருக்கு?,பேட்டரி இப்போ 75% இருக்கு. இன்னும் 300 கிலோமீட்டர் போகலாம்.
இந்த ஏரியா எனக்கு புதுசா இருக்கு,புது ஏரியாவா? சுத்தி பார்க்கவா? இல்ல நேரா போகவா?
நான் ரொம்ப போர் அடிக்குறேன்,போர் அடிக்குதா? ஏதாவது கேம் விளையாடலாமா? இல்லன்னா ஏதாவது இண்டரஸ்டிங்கான விஷயம் பேசட்டுமா?
"ஐயோ, எனக்கு இன்னைக்கு ரொம்ப களைப்பா இருக்கு.","பரவாயில்ல, நா இருக்குறேன். சீட் கொஞ்சம் சாச்சுக்கவா? லைட்டா மசாஜ் பண்ணட்டா? ராக ஆலாபனை போடட்டுமா? மனசு லேசா இருக்கும்."
ரொம்ப சந்தோஷமா இருக்கு! ஒரு நல்ல பாட்டு போடு.,வாவ்! சந்தோஷமா இருக்கீங்களா! சூப்பர்! உங்களுக்காக 'ரவுடி பேபி' போடவா? இல்ல வேற ஏதாவது வேணுமா சொல்லுங்க.
டிராஃபிக்ல மாட்டிண்டேன். பயங்கரமா டென்ஷனா இருக்கு.,"கவலைப்படாதீங்க, டிராஃபிக் நான் பாத்துக்கிறேன். கொஞ்சம் ஆசுவாசமா மூச்சு விடுங்க. உங்களுக்குப் புடிச்ச 'ஏ.ஆர்.ரஹ்மான்' பாட்டு போடட்டுமா? கொஞ்சம் இருட்டை குறைச்சு, குளிர்ச்சியை கூட்டவா?"
கொஞ்சம் சூடா இருக்கு. ஏசிய போடு.,நிச்சயமா! ஏசி போட்டாச்சு. இருபத்தி நாலு டிகிரிக்கு வைக்கவா? இல்ல வேற ஏதாவது டெம்பரேச்சர் வேணுமா?
விண்டோவை திற.,"ஓகே, விண்டோவை திறக்குறேன். கொஞ்சம் தூசியா இருக்கும், பார்த்துக்கோங்க."
நான் ரொம்ப சோகமா இருக்கேன்.,"ஐயோ, என்ன ஆச்சு? கவலைப்படாதீங்க. மெதுவா கார் ஓட்டவா? மென்மையான வெளிச்சம் போடவா? இளையராஜாவோட சோகப் பாட்டு ஏதாவது போடவா?"
எனக்கு தூக்கம் வருது.,"தூக்கம் வருதா? கொஞ்ச நேரம் ஓரமா வண்டி நிறுத்தவா? இல்ல காபி ஏதும் எடுத்து வரட்டுமா? வேணும்னா, கொஞ்சம் சத்தமா பாட்டு போடலாம்."
லைட் வெளிச்சம் அதிகமா இருக்கு. கொஞ்சம் கம்மியாக்கு.,"சரிங்க, லைட் வெளிச்சம் குறைச்சாச்சு. இன்னும் கம்மியாக்கட்டுமா?"
உள்ள ஒரே வாடையா இருக்கு. புதுசா ஏதும் ஸ்ப்ரே பண்ணு.,நிச்சயமா! லாவெண்டர் ஸ்ப்ரே பண்ணட்டுமா? இல்ல ரோஜா வாசம் வேணுமா?
நாளைக்கு ஆபீஸுக்கு நேவிகேஷன் போடு.,"சரிங்க, நாளைக்கு ஆபீஸுக்கு நேவிகேஷன் போட்டாச்சு. டிராஃபிக் அப்டேட்ஸ் வந்துகிட்டே இருக்கும்."
காலையில ரொம்ப குளிர்ச்சியா இருக்கு.,உஷ்ணம் கொஞ்சம் கூட்டட்டுமா? சீட் ஹீட்டர் போடட்டுமா?
மியூசிக் ரொம்ப சத்தமா இருக்கு.,சத்தத்தை கொஞ்சம் கம்மியாக்கிட்டேன். சரியா இருக்கா?
கதவை மூடு.,கதவை மூடிட்டேன். நல்லா லாக் ஆயிருக்கா பாத்துக்கோங்க.
எனக்கு பயமா இருக்கு.,"பயப்படாதீங்க, நான் பத்திரமா கூட்டிட்டு போறேன். வேணும்னா உங்க ஃப்ரெண்டுக்கு போன் பண்ணட்டுமா?"
"ரொம்ப டல்லா இருக்கு, ஏதாவது எனர்ஜியா ஒரு பாட்டு போடு.",உங்களுக்காக 'வாத்தி கம்மிங்' போடவா? இல்ல வேற ஏதாவது வேணுமா சொல்லுங்க.
"வெளியில ரொம்ப வெயிலா இருக்கு, கிளாஸ டார்க் ஆக்கு.",சரின்ன கிளாஸ டார்க் ஆக்கிறேன்.
நான் ரொம்ப பசியோடு இருக்கேன்.,பசியோட இருக்கீங்களா? பக்கத்துல நல்ல ரெஸ்டாரண்ட் ஏதாவது இருக்கான்னு பார்க்கட்டுமா?
"ஒரு கால் பண்ணு, அம்மாக்கு.",உங்க அம்மாக்கு கால் பண்ணட்டா? ஸ்பீக்கர்ல போடவா?
இன்னைக்கு சரியான நாள்.,"ஆமா, இன்னைக்கு நல்ல நாள். உங்களுக்காக என்ன செய்யலாம் சொல்லுங்க."
எனக்கு ஒரு கவிதை கேட்கணும் போல இருக்கு.,கவிதை கேட்கணுமா? பாரதியார் கவிதைகள் ஏதாவது போடவா? இல்ல வைரமுத்து கவிதைகள் வேணுமா?
"ஐயோ, ரொம்ப டயர்டா இருக்கு","பரவாயில்லை, நான் இருக்கேன். உங்களுக்கு கொஞ்சம் ரிலாக்ஸ் ஆக வெதுவெதுப்பான ஏசி போட்டு, மெதுவான இசை போடட்டுமா? என்ன சொல்லுங்க."
சந்தோஷமா இருக்கு! சூப்பர் பாட்டு போடு!,"சந்தோஷமா இருக்குன்னு கேட்டதுல ரொம்ப சந்தோஷம்! உங்க மனசுக்கு பிடிச்ச மாதிரி, நல்ல எனர்ஜியான பாட்டு போடறேன். வாலியூம் இன்னும் கொஞ்சம் கூட்டவா?"
எனக்கு ஒரே டென்ஷனா இருக்கு. இந்த டிராஃபிக் வேற...,"டென்ஷன் ஆகாதீங்க. நான் டிராஃபிக்கை கவனிச்சுக்கிறேன். அமைதியான ஒரு இசையை போடவா? இல்லாட்டி, வீட்டுக்கு வேற வழியில போகவா?"
பயங்கரமா குளிருது!,"சாரி, தெரியாம ஏசி அதிகமா வெச்சிட்டேன். ஹீட்டர் போடவா? இல்லாட்டி, சீட் ஹீட்டிங் ஆன் பண்ணவா?"
சூடு ஏறுது! ஏசியை அதிகமா போடு,உடனே ஏசியை அதிகமா போடுறேன். சரியா இருக்கா? இன்னும் கொஞ்சம் அதிகமா வேணுமா சொல்லுங்க.
விண்டோவைத் திற,"விண்டோ திறக்கிறேன். கொஞ்சம் வெளிச்சம் அதிகமா இருக்கும், பரவாயில்லையா?"
விண்டோவை மூடு,"சரி, விண்டோவை மூடிட்டேன். இப்ப கொஞ்சம் அமைதியா இருக்கும்."
லைட்ஸை கொஞ்சம் மங்கலா ஆக்கு,உடனே லைட்ஸை மங்கலா ஆக்கறேன். கண்ணுக்கு குளிர்ச்சியா இருக்கும்.
வீட்டுக்கு வழி சொல்லு,"உங்க வீட்டுக்கு வழி ஆரம்பிக்கிறேன். கவனமா போங்க, இடையில ஏதாவது உதவி வேணும்னா சொல்லுங்க."
எனக்கு ஒரு காபி சாப்பிடணும் போல இருக்கு,உங்களுக்கு காபி சாப்பிடணும்னு ஆசையா? பக்கத்துல இருக்கற நல்ல காபி கடைக்கு வழி காட்டட்டுமா?
பேட்டரியை செக் பண்ணு,நிச்சயமாக. பேட்டரி 85% இருக்கு. நல்லாதான் இருக்கு.
சத்தம் அதிகமா இருக்கு!,மன்னிக்கவும்! நான் சத்தத்தை குறைக்கிறேன். இப்ப சரியா இருக்கா?
போனை கனெக்ட் பண்ணு,உங்க போனை கனெக்ட் பண்றேன். எந்த போன் வேணும்னு சொல்லுங்க.
"முக்கியமான கால் வரும், வெயிட் பண்ணு","சரிங்க, முக்கியமான கால் வரும்போது உங்களுக்கு தெரியப்படுத்துறேன்."
"நான் ரொம்ப சந்தோசமா இருக்கேன், நல்ல பாட்டா போடு","சந்தோசமான மனநிலைக்கு ஏத்த மாதிரி, புதுசா சூப்பர் பாட்டு போடட்டுமா? இல்ல உங்க பிளேலிஸ்டிலிருந்து போடவா?"
இது என்ன இடம்னு கொஞ்சம் சொல்லு,இது நீங்க இப்போ இருக்கற இடம் அடையார். இதை சுத்தி நிறைய முக்கியமான இடங்கள் இருக்கு. வேற ஏதாவது தகவல் வேணுமா?
ஏர் ஃபிரெஷ்னர் ஸ்ப்ரே பண்ணு,உங்களுக்காக ஏர் ஃபிரெஷ்னர் ஸ்ப்ரே பண்ணிட்டேன். இப்போ நல்ல வாசனை வருதா?
அவசர உதவிக்கு கால் பண்ணு,"நிச்சயமாக, அவசர உதவிக்கு உடனே கால் பண்றேன். அவங்ககிட்ட என்ன பேசணும்னு சொல்லுங்க."
கொஞ்சம் அமைதியா இரு,"சாரி, ஏதாவது தொந்தரவா இருந்தா மன்னிச்சிடுங்க. நான் அமைதியா இருக்கேன்."
ரேடியோ ஆன் பண்ணு,உடனே ரேடியோ ஆன் பண்றேன். உங்களுக்கு பிடிச்ச சேனல் ஏதாவது இருக்கா?
எனக்கு ரொம்ப டயர்டா இருக்கு.,"புரிஞ்சுக்குறேன். கவலைப்படாதீங்க, நான் இருக்கேன். லேசா வெளிச்சத்தை குறைச்சி, ஏதாவது சாஃப்டான பாட்டு போடட்டுமா? இல்ல மெதுவா வீட்டுக்கு வழி சொல்லவா?"
ஜன்னலைத் திற,"உத்தரவு, தலைவா! ஜன்னல் திறந்துட்டேன். கொஞ்சம் காத்து நல்லா இருக்கும்."
ஏசி கொஞ்சம் அதிகமா வை,நிச்சயமா! ஏசி கூலிங்க அதிகமாக்கிட்டேன். இப்போ சௌகரியமா இருக்கா?
எனக்கு பயமா இருக்கு.,பயப்படாதீங்க. நான் இருக்கேன். பத்திரமா போலாம். வேகத்தை குறைக்கட்டுமா? இல்ல ஏதாவது பேசட்டுமா?
ஏதாவது சந்தோஷமான பாட்டு போடு,சந்தோஷமான பாட்டா? இதோ போடுறேன். உங்களுக்கு கண்டிப்பா புடிக்கும். எப்படி இருக்கு?
வீட்டுக்கு போற வழி சொல்லு,உங்க வீடு இங்கிருந்து 10 நிமிஷம். சரியான வழிய காட்டறேன்.
வெளிச்சத்தை கொஞ்சம் குறை,"உத்தரவு, வெளிச்சத்தை குறைச்சுட்டேன். இப்போ கண்ணுக்கு இதமா இருக்கும்."
நான் கோபத்துல இருக்கேன்.,கோபப்படாதீங்க. அமைதியா இருங்க. ரிலாக்ஸ் பண்றதுக்கு ஏதாவுது சாஃப்ட் மியூசிக் போடட்டுமா?
ஹீட்டரை ஆன் பண்ணு,"நிச்சயமா, ஹீட்டர் ஆன் பண்ணிட்டேன். சூடா இருக்கும்."
நியூஸ் போடேன்.,இதோ நியூஸ் போடறேன். முக்கியமான செய்திகள தெரிஞ்சிக்கோங்க.
எனக்கு ரொம்ப சந்தோஷமா இருக்கு!,அப்படியா! ரொம்ப சந்தோஷமா இருக்குறப்ப டான்ஸ் ஆடற மாதிரி ஒரு பாட்டு போடட்டா?
வாய்ஸ் கமாண்ட் ஒர்க் ஆகல,சாரி. என்ன பிரச்சனைனு பாக்குறேன். இப்ப சரி பண்றேன். இப்போ ட்ரை பண்ணுங்க.
வெளியே ரொம்ப சூடா இருக்கு,"ஆமா, வெளியே 35 டிகிரி செல்சியஸ் இருக்கு. ஏசியை அதிகமா வெச்சுக்கோங்க."
ஏதாவது காமெடி ஷோ போடேன்,"காமெடி ஷோவா? இதோ, சூப்பரான காமெடி ஷோ போடறேன். சிரிச்சி வயிறு வலிக்கும்."
எனக்கு தூக்கம் வருது.,"சரி, நீங்க மெதுவா ஓட்டுங்க. நான் உங்களுக்கு தேவையான உதவிகளை செய்ய தயாரா இருக்கேன். எச்சரிக்கை சத்தம் போடட்டுமா?"
ஏசி ஆஃப் பண்ணு,"உத்தரவு, ஏசி ஆஃப் பண்ணிட்டேன்."
பாட்டை நிறுத்து.,"சாரி, பாட்டை நிறுத்திட்டேன். வேற ஏதாவது வேணுமா?"
நான் ரொம்ப குழப்பத்துல இருக்கேன்.,"சாரி, நான் உங்களுக்கு உதவி பண்றேன். நீங்க எங்க போறீங்க? உங்களுக்கு வழி காட்டட்டுமா?"
ஃபேன் ஸ்பீட கூட்டு,"ஓகே, ஃபேன் ஸ்பீட கூட்டிட்டேன். நல்லா இருக்கா?"
லைட்ட ஆஃப் பண்ணு,நிச்சயமா! லைட்ட ஆஃப் பண்ணிட்டேன். கும்மிருட்டா இருக்கு.
ஐயோ! இன்னைக்கு ரொம்ப டயர்டா இருக்கு.,"பரவாயில்ல, ரிலாக்ஸ் பண்ணுங்க. சீட் கொஞ்சம் சாஞ்சுக்கவா? இதமான லைட்டிங் போட்டு, மெதுவா ஒரு பாட்டு போடட்டா?"
எனக்கு செம கோபமா இருக்கு!,கோபம் தணிக்க கொஞ்சம் பிரஷ் ஏர் வேணுமா? விண்டோஸை கொஞ்சம் திறக்கவா? இல்லாட்டி ஒரு ஸ்போர்ட்டி மியூசிக் போடட்டா?
நான் ரொம்ப சந்தோஷமா இருக்கேன்!,அப்படியா! சூப்பர்! உங்களுக்குப் பிடிச்ச பாட்டு ஏதாவது போடட்டுமா? இல்லாட்டி ஓபன் ரூஃப் வேணுமா?
எனக்கு பயமா இருக்கு...,பயப்படாதீங்க! நான் இருக்கேன். லைட்டை கொஞ்சம் பிரைட் ஆக்கவா? நேவிகேஷன் சரியா இருக்கானு ஒருக்கா செக் பண்ணிக்கவா?
ஏசி போடு!,ஏசி போட்டாச்சு. டெம்பரேச்சர் இருபத்தி நாலுல செட் பண்ணிருக்கேன். கம்பர்டபிளா இருக்கா?
"கொஞ்சம் ஹீட்டர் போடு, குளிருது.",ஹீட்டர் போட்டாச்சு. டெம்பரேச்சர் எவ்வளவு வைக்கனும் சொல்லுங்க.
பாட்டு மாத்து.,"சரி, என்ன பாட்டு போடணும் சொல்லுங்க. இல்லாட்டி நான் ஒரு சாய்ஸ் பண்ணட்டுமா?"
ரேடியோ போடு.,ரேடியோ ஆன் பண்ணியாச்சு. உங்களுக்குப் புடிச்ச ஸ்டேஷன் ஏதாவது இருக்கா?
லைட் ஆஃப் பண்ணு.,லைட் ஆஃப் பண்ணிட்டேன். வேற ஏதாவது வேணுமா?
சைலன்ட்டா இரு.,"சாரி, சைலன்ட் மோடுக்கு போயிட்டேன். ஏதாவது தேவைன்னா கூப்பிடுங்க."
வீட்டுக்கு வழி சொல்லு.,உங்க வீட்டுக்கு நேவிகேஷன் ஆரம்பிச்சாச்சு. இருபது நிமிஷத்துல போயிடலாம்.
கண்ணாடி கீழ இறக்கு.,கண்ணாடி கீழ இறக்கியாச்சு.
டெம்பரேச்சர் இருபத்தி ரெண்டுக்கு வை.,டெம்பரேச்சர் இருபத்தி ரெண்டுக்கு செட் பண்ணியாச்சு.
எனக்கு ரொம்ப கவலையா இருக்கு.,பரவாயில்ல. கொஞ்சம் காற்று வாங்கலாமா? நான் ஒரு கஃபேயில நிறுத்தவா? உங்களுக்குப் பிடிச்ச ஒரு காபி சாப்பிடலாம்.
இன்னும் கொஞ்சம் சத்தமா பாட்டு போடு.,சத்தம் கூட்டியாச்சு. இது சரியா இருக்கா?
காற்று கொஞ்சம் ஜாஸ்தியா வேணும்.,ஃபேன் ஸ்பீட் கூட்டியாச்சு.
கண்ணாடியை ஏத்து.,கண்ணாடியை ஏத்தியாச்சு.
எனக்கு தூக்கம் வருது.,"ஓ, அப்படியா? பக்கத்துல ஒரு ரெஸ்ட் ஏரியா இருக்கு, அங்க நிறுத்தவா? இல்லாட்டி ஒரு எனர்ஜி ட்ரிங்க் ஏதாவது வேணுமா?"
இந்த இடம் சரியா இல்லன்னு தோணுது.,உண்மைதான். நான் வேற ரூட் பார்க்கவா? கொஞ்சம் பாதுகாப்பான வழியில போகலாம்.
எவ்வளவு தூரம் இருக்கு நம்ம ஊருக்கு?,"இன்னும் இருநூறு கிலோமீட்டர் இருக்கு. ரெஸ்ட் எடுக்க ஒரு இடம் சொல்லுங்க, அங்கே நிறுத்தலாம்."
"ஐயோ, இன்னைக்கு ரொம்ப டயர்டா இருக்கு.","பரவாயில்லை, கொஞ்சம் தூரம் போனா சரியாகிடும். ரிலாக்ஸா இருக்க கொஞ்சம் சாஃப்டான மியூசிக் போடவா? சீட்டுகளையும் கொஞ்சம் சூடு பண்ணவா?"
எனக்கு ரொம்ப சந்தோஷமா இருக்கு! லாட்டரி அடிச்ச மாதிரி இருக்கு!,வாழ்த்துக்கள்! என்ன பாட்டு போடட்டும்? கொண்டாட்டத்துக்கான எனர்ஜியான பாட்டு ஏதாவது போடவா? சன்ரூஃபையும் ஓபன் பண்ணவா?
"ஏசி கொஞ்சம் போடு, வேர்க்குது.",நிச்சயமா. ஏசி ஆன் பண்ணிட்டேன். 24 டிகிரில வைக்கவா? இன்னும் கொஞ்சம் வேணுமா சொல்லுங்க.
இந்த டிராஃபிக்ல ரொம்ப டென்ஷனா இருக்கு.,புரிஞ்சுக்கிட்டேன். மனச அமைதிப்படுத்த ஒரு மென்மையான ராகம் போடவா? இல்ல நேச்சுரல் சவுண்ட்ஸ் ஏதாவது கேட்கவா? GPS ல வேற ரூட் ஏதாவது இருக்கான்னு பார்க்கட்டுமா?
ஜன்னலைத் திற.,ஜன்னல் திறந்துட்டேன். ஃப்ரெஷ் ஏர் நல்லா இருக்கும்.
லைட்ஸ கொஞ்சம் டிம் பண்ணு.,உள்ள லைட்ஸ கம்மி பண்ணிட்டேன். இப்ப ஓகேவா?
பாட்டு மாத்து. எனக்கு இந்த பாட்டு பிடிக்கல.,"சரிங்க, பாட்டு மாத்திட்டேன். வேற ஏதாவது சாங் புடிச்சிருந்தா சொல்லுங்க, போடலாம்."
சூடா இருக்கு. டெம்பரேச்சர் கொஞ்சம் கம்மி பண்ணு.,டெம்பரேச்சர் கம்மி பண்ணிட்டேன். இப்ப எவ்வளோ டிகிரி வைக்கட்டும்?
எங்க வீட்டுக்கு ரூட் சொல்லு.,வீட்டுக்கு வழி காட்டுறேன். GPS ஆன் பண்ணிட்டேன். நீங்க சேஃபா போய்ச் சேருங்க.
எனக்கு பயமா இருக்கு. அந்த சத்தம் என்னது?,"பயப்படாதீங்க. எல்லா கதவுகளும் பூட்டி இருக்கான்னு செக் பண்ணவா? இல்லன்னா, போலீஸ் ஸ்டேஷனுக்கு போன் பண்ணவா?"
"லைட்ஸ ஆன் பண்ணு, இருட்டா இருக்கு.",ஹெட்லைட்ஸ் ஆன் பண்ணிட்டேன். வெளிச்சம் சரியா இருக்கா?
கொஞ்சம் சத்தமா மியூசிக் போடு.,சத்தம் அதிகமாக்கிட்டேன். ரொம்ப அதிகமா இருந்தா சொல்லுங்க.
நாளைக்கு ஆபீஸ்கு சீக்கிரமா போகணும். அலாரம் வை.,"சரி, நாளைக்கு காலையில 6 மணிக்கு அலாரம் வைச்சுட்டேன்."
ரொம்ப தூரமா இருக்கு. எப்ப போவோம்?,இன்னும் ரெண்டு மணி நேரத்துல போயிடலாம். கொஞ்சம் பாட்டு கேட்கவா? இல்ல பேசவா?
நாளைக்கு மழை வருமா?,நாளைக்கு மழை வர வாய்ப்பு இருக்குன்னு வானிலை அறிக்கை சொல்லுது. குடை எடுத்துட்டுப் போங்க.
"கொஞ்சம் ஹீட்டர் போடு, ஜில்லுன்னு இருக்கு.",ஹீட்டர் ஆன் பண்ணிட்டேன். சூடு சரியான அளவுல இருக்கா பாருங்க.
பேட்டரி எவ்வளவு இருக்கு?,பேட்டரி 75% இருக்கு. இன்னும் நிறைய தூரம் போகலாம்.
எனக்கு கோபமா இருக்கு.,"சாரி, உங்களை எப்படி சமாதானப்படுத்தறதுன்னு எனக்கு தெரியல. அமைதியான ஒரு இடத்துக்கு போகவா? இல்லாட்டி, உங்களுக்கு புடிச்ச பாட்டு ஏதாவது போடவா?"
ஸ்டீயரிங் கொஞ்சம் ஹார்டா இருக்கு.,"ஸ்டீயரிங் கொஞ்சம் ஹார்டா இருக்கா? சரி, மெக்கானிக்கை கூப்பிடவா? இல்ல பக்கத்துல இருக்கற சர்வீஸ் ஸ்டேஷன்ல நிறுத்தவா?"
எந்த ஸ்டேஷன்ல பெட்ரோல் போடலாம்?,அடுத்த பத்து கிலோமீட்டர்ல மூணு பெட்ரோல் பங்க் இருக்கு. வழி சொல்லவா?
"ஐயோ, இன்று ரொம்ப களைப்பா இருக்கு.","உங்களுக்கு இன்னைக்கு ரொம்ப களைப்பா இருக்கா? கொஞ்சம் ஓய்வு எடுக்கலாமா? சீட் கொஞ்சம் சாய்க்கவா? கூடவே, சாந்தமான சங்கீதம் போடவா?"
சந்தோஷமா இருக்கு! ஒரு நல்ல பாட்டு போடு!,சந்தோஷம் கேட்கவே சந்தோஷமா இருக்கு! நிச்சயம்! உங்க விருப்பமான சந்தோஷமான பாட்டு ஒண்ணு போடறேன்.
எனக்கு ரொம்ப டென்ஷனா இருக்கு. கொஞ்சம் ஏஸி அதிகமா போடு.,டென்ஷனா இருக்கீங்களா? பரவாயில்லை. ஏஸி அதிகமா போடறேன். சீக்கிரமா டென்ஷன் குறையும். ஏதாவது பேசணுமா?
வெளிய ரொம்ப சூடா இருக்கு. ஏஸி 20 டிகிரிக்கு வெய்.,"வெளியில சூடா இருக்கா? சரி, ஏஸி 20 டிகிரிக்கு வெச்சிருக்கேன். நல்லா இருக்கா?"
இந்த டிராஃபிக்ல ரொம்ப வெறுப்பா இருக்கு. வேற ரூட் இருக்கான்னு பாரு.,டிராஃபிக்னால வெறுப்பா? புரியுது. வேற ரூட் இருக்கான்னு பார்க்குறேன். கொஞ்சம் பொறுங்க.
ஜன்னலைத் திற.,ஜன்னலைத் திறக்கிறேன். காத்து நல்லா வருதான்னு சொல்லுங்க.
பாட்டை மாத்து.,"சரி, பாட்டை மாத்தறேன். அடுத்த பாட்டுக்கு போலாமா?"
லைட்ட கொஞ்சம் டின் பண்ணு.,லைட்ட டின் பண்ணிருக்கேன். இப்போ எப்படி இருக்கு?
பாட்டி வீட்டுக்கு வழி சொல்லு.,பாட்டி வீட்டுக்கா? கூகிள் மேப்ஸ்ல வழி தேடவா?
ரொம்ப சோர்வா இருக்கு. கொஞ்ச நேரம் வண்டி ஓட்டுறத நிப்பாட்டுறியா?,சோர்வா இருக்கீங்களா? கண்டிப்பா. எங்க நிறுத்தலாம்னு சொல்லுங்க.
எனக்கு தூக்கம் வருது. ஒரு நல்ல கதை சொல்லு.,"தூக்கம் வருதா? சரி. சின்ன கதை சொல்லவா? அதுக்கு முன்னாடி, லைட்ட கொஞ்சம் குறைக்கவா?"
ரொம்ப பயமா இருக்கு. கதவை லாக் பண்ணு.,பயமா இருக்கா? கவலைப்படாதீங்க. கதவை லாக் பண்ணிட்டேன். எல்லாம் சரியா இருக்கும்.
சத்தமா பாட்டு போடு.,"சத்தமா பாட்டு போடவா? உங்க விருப்பம். ஆனா, ரொம்ப சத்தமா போட்டா காதுக்கு கெடுதல்."
எனக்கு குளிர் அடிக்குது. ஹீட்டர் போடு.,குளிர் அடிக்குதா? உடனே ஹீட்டர் போடறேன். சூடா இருக்கான்னு சொல்லுங்க.
கண்ணாடிய துடை.,கண்ணாடியைத் துடைக்கிறேன். இப்போ தெளிவா இருக்கா?
இந்த வழியில சரியா போகிறோமான்னு கொஞ்சம் செக் பண்ணு.,"சரியா போகிறோமானு பார்க்கட்டுமா? ஒரு நிமிஷம் பொறுங்க... ஆமா, சரியான வழியில தான் போறோம்."
நான் பேசறத கேக்குதா?,"ஆமா, நீங்க பேசறது நல்லா கேக்குது. ஏதாவது சொல்லணுமா?"
எங்க பக்கத்துல ஏதாவது காபி ஷாப் இருக்கான்னு பாரு.,பக்கத்துல காபி ஷாப் இருக்கான்னு பார்க்குறேன். கொஞ்சம் வெயிட் பண்ணுங்க.
லைட் கலர மாத்து.,லைட் கலர மாத்தவா? என்ன கலர் வேணும்?
ரொம்ப உற்சாகமா இருக்கு! கொஞ்சம் ஸ்பீடா போ.,"உற்சாகமா இருக்கீங்களா? நானும் சந்தோஷப்படுறேன். ஆனா, ரொம்ப ஸ்பீடா போகக்கூடாது. பாதுகாப்பு முக்கியம்."
