input_te,output_te,input_en,output_en
దూరం ఎంత?,గమ్యస్థానానికి ఇంకా 10 కిలోమీటర్ల దూరం ఉంది.,How far is it?,There are still 10 kilometers to the destination.
హైదరాబాద్‌కు దారి చూపించు.,"సరే, హైదరాబాద్‌కు దారి చూపిస్తున్నాను.",Navigate to Hyderabad.,"Okay, navigating to Hyderabad."
ఉష్ణోగ్రత 22 డిగ్రీలకు సెట్ చేయండి.,"సరే, ఉష్ణోగ్రత 22 డిగ్రీలకు సెట్ చేశాను.",Set the temperature to 22 degrees.,"Okay, I set the temperature to 22 degrees."
కొత్త పాటలు ప్లే చేయండి.,"సరే, కొత్త పాటలు ప్లే చేస్తున్నాను.",Play some new songs.,"Okay, playing some new songs."
నేను ఆందోళనగా ఉన్నాను.,మీరు ఆందోళనగా ఉన్నారా? సీట్ మసాజ్ ఆన్ చేయమంటారా?,I am feeling anxious.,Are you feeling anxious? Should I turn on the seat massage?
నేను ఉత్సాహంగా ఉన్నాను!,అద్భుతం! మీ ఇష్టమైన స్పోర్ట్స్ ఛానెల్ ప్లే చేయనా?,I am excited!,Awesome! Shall I play your favorite sports channel?
కొంచెం వెచ్చగా చేయండి.,"ఖచ్చితంగా, కొంచెం వెచ్చగా చేశాను.",Make it a little warmer.,"Sure, I made it a little warmer."
నేను కోపంగా ఉన్నాను.,"క్షమించండి, కోపం తగ్గడానికి సహాయపడటానికి, నేను ఒక ఫన్నీ వీడియో ప్లే చేయనా?",I am angry.,"I am sorry to hear that. To help you calm down, should I play a funny video?"
తరువాత గమ్యం చేరుకోవడానికి ఎంత సమయం పడుతుంది?,తరువాత గమ్యం చేరుకోవడానికి మరో 30 నిమిషాలు పడుతుంది.,How long will it take to reach the next destination?,It will take another 30 minutes to reach the next destination.
నాకు చాలా సంతోషంగా ఉంది!,అద్భుతం! మీరు సంతోషంగా ఉండటం నాకు సంతోషంగా ఉంది. ఏదైనా స్పీడి మ్యూజిక్ ప్లే చేయమంటారా?,I am very happy!,Fantastic! I'm glad you're happy. Should I play some upbeat music?
నేను చాలా అలసిపోయాను.,మీరు అలసిపోయారని వినడానికి విచారంగా ఉంది. ఇంటికి నావిగేషన్ సెట్ చేయనా మరియు లైట్లను డిమ్ చేయనా?,I am very tired.,I'm sorry to hear you're tired. Should I set the navigation home and dim the lights?
చాలా ఒత్తిడిగా ఉంది.,మీరు ఒత్తిడికి గురవుతున్నారని వినడానికి నాకు విచారంగా ఉంది. నేను విశ్రాంతి సంగీతం ప్లే చేయనా మరియు ఉష్ణోగ్రతను కొద్దిగా తగ్గించనా?,I am very stressed.,I'm sorry to hear you're stressed. Should I play some relaxing music and lower the temperature slightly?
సంగీతం ప్లే చేయ్.,ఖచ్చితంగా! మీకు ఇష్టమైన ప్లేజాబితా ఏదైనా ఉందా?,Play music.,Sure! Do you have a favorite playlist?
ఎ.సి. ఆన్ చేయ్.,"ఖచ్చితంగా, ఎ.సి. ఆన్ చేయబడింది. మీరు ఇష్టపడే ఉష్ణోగ్రత ఎంత?",Turn on the AC.,"Sure, the AC is on. What temperature would you prefer?"
ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేయ్.,"సరే, ఉష్ణోగ్రత 22 డిగ్రీలకు సెట్ చేయబడింది.",Set the temperature to 22 degrees.,"Okay, the temperature is set to 22 degrees."
కిటికీలు తెరవు.,"క్షమించండి, భద్రతా కారణాల దృష్ట్యా, నేను పాక్షికంగా మాత్రమే కిటికీలు తెరవగలను.",Open the windows.,"Sorry, for safety reasons, I can only partially open the windows."
కాంతి కొంచెం ఎక్కువ చేయ్.,"సరే, కాంతి కొంచెం పెంచాను.",Make the light a little brighter.,"Okay, I've increased the light a little."
నాకు ఆకలిగా ఉంది.,మీ దగ్గరలోని రెస్టారెంట్లను చూపించనా?,I am hungry.,Shall I show you nearby restaurants?
నాకు దాహంగా ఉంది.,మీ దగ్గరలోని కాఫీ షాపులను లేదా కిరాణా దుకాణాలను చూపించనా?,I am thirsty.,Shall I show you nearby coffee shops or grocery stores?
నాకు నీరసంగా ఉంది.,నేను మీకు ఏదైనా జోక్ చెప్పనా లేదా మీకు ఇష్టమైన పాటను ప్లే చేయనా?,I am feeling dull.,Should I tell you a joke or play your favorite song?
ఎక్కడికి వెళ్తున్నాను?,మీరు ప్రస్తుతం మెయిన్ స్ట్రీట్ లో ఉన్నారు.,Where am I going?,You are currently on Main Street.
ఇంటికి నావిగేషన్ సెట్ చేయ్.,"ఖచ్చితంగా, ఇంటికి నావిగేషన్ సెట్ చేయబడింది. అంచనా వేసిన రాక సమయం 20 నిమిషాలు.",Set navigation to home.,"Sure, navigation to home is set. Estimated time of arrival is 20 minutes."
ధన్యవాదాలు.,మీకు సహాయం చేయడానికి నేను ఇక్కడ ఉన్నాను.,Thank you.,I am here to help you.
వాల్యూమ్ పెంచు.,"సరే, వాల్యూమ్ పెంచాను.",Increase the volume.,"Okay, I've increased the volume."
లైట్లను ఆపు.,"ఖచ్చితంగా, లైట్లు ఆఫ్ చేయబడ్డాయి.",Turn off the lights.,"Sure, the lights are off."
రేడియో ప్లే చేయ్.,"ఖచ్చితంగా, మీరు వినడానికి ఇష్టపడే ఏదైనా స్టేషన్ ఉందా?",Play the radio.,"Sure, do you have a specific station you'd like to listen to?"
నేను చిరాకుగా ఉన్నాను.,మీరు చిరాకుగా ఉన్నారని వినడానికి నాకు విచారంగా ఉంది. నేను మీకు ఒక కామెడీ షో ప్లే చేయనా?,I am annoyed.,I'm sorry to hear you're annoyed. Should I play a comedy show for you?
ఎదురుగా ఉన్న పెట్రోల్ బంక్ ఎక్కడ ఉంది?,"సరే, మీ దిశలో అర కిలోమీటరు దూరంలో పెట్రోల్ బంక్ ఉంది, దానికి నావిగేట్ చేయాలా?",Where is the nearest petrol bunk?,"Okay, there is a petrol bunk half a kilometer away in your direction, should I navigate to it?"
ఎసి తగ్గించు.,"సరే, ఎసి తగ్గించాను.",Reduce the AC.,"Okay, I reduced the AC."
నాకు చాలా అలసటగా ఉంది.,మీరు అలసిపోయి ఉన్నారు అని అర్థం చేసుకున్నాను. సీటు వెనుకకు వాలి ఉండేలా సర్దుబాటు చేయనా మరియు లైటింగ్ తగ్గించనా?,I am very tired.,I understand you are tired. Shall I adjust the seat to recline and dim the lighting?
నేను చాలా సంతోషంగా ఉన్నాను!,అది వినడానికి చాలా సంతోషంగా ఉంది! ఉత్సాహంగా ఉండే మ్యూజిక్ ప్లే చేయనా?,I am very happy!,That's wonderful to hear! Shall I play some upbeat music?
నాకు చాలా కోపంగా ఉంది.,క్షమించండి. మిమ్మల్ని శాంతపరచడానికి సహాయపడే విధంగా ఏమైనా చేయగలనా? నెమ్మదిగా ఉండే సంగీతం వినడానికి ప్రయత్నించండి.,I am very angry.,I am sorry to hear that. Is there anything I can do to help calm you down? Try listening to some soothing music.
చాలా వేడిగా ఉంది.,ఖచ్చితంగా. ఏసీ ఆన్ చేస్తాను మరియు ఉష్ణోగ్రతను 22 డిగ్రీల సెల్సియస్‌కు సెట్ చేస్తాను.,It's very hot.,Certainly. I will turn on the AC and set the temperature to 22 degrees Celsius.
చాలా చల్లగా ఉంది.,ఖచ్చితంగా. హీటర్ ఆన్ చేస్తాను మరియు ఉష్ణోగ్రతను 26 డిగ్రీల సెల్సియస్‌కు సెట్ చేస్తాను.,It's very cold.,Certainly. I will turn on the heater and set the temperature to 26 degrees Celsius.
కొంచెం మ్యూజిక్ ప్లే చేయి.,తప్పకుండా. మీకు ఇష్టమైన పాట ఏదైనా ఉంటే చెప్పండి లేదా నేను కొన్ని సూచనలు చేయనా?,Play some music.,Sure. Tell me your favourite song or would you like some suggestions?
విండోస్ తెరువు.,విండోస్ ఇప్పుడు తెరుస్తున్నాను.,Open the windows.,Opening the windows now.
విండోస్ మూసివేయి.,విండోస్ ఇప్పుడు మూసివేస్తున్నాను.,Close the windows.,Closing the windows now.
నేను ఒత్తిడిలో ఉన్నాను.,"క్షమించండి, మీకు ఒత్తిడిగా ఉంది అని వినడానికి బాధగా ఉంది. మెడిటేషన్ ఆడియో ప్లే చేయనా?",I am stressed.,I'm sorry to hear that you're stressed. Should I play a meditation audio?
నాకు నిద్ర వస్తోంది.,మీరు నిద్రపోయేలా ఉన్నారని తెలుస్తోంది. సమీపంలోని రెస్ట ఏరియాకు నావిగేషన్ సెట్ చేయనా?,I am feeling sleepy.,It sounds like you're feeling sleepy. Shall I set navigation to the nearest rest area?
ఎయిర్ కండిషనర్ ఆఫ్ చేయి.,ఎయిర్ కండిషనర్ ఆఫ్ చేశాను.,Turn off the air conditioner.,I have turned off the air conditioner.
లైట్లు కొంచెం వెలిగించు.,లైట్లు కొంచెం వెలిగించాను.,Turn the lights up a little.,I have turned the lights up a little.
హీటర్ కొంచెం తగ్గించు.,హీటర్ కొంచెం తగ్గించాను.,Turn the heater down a little.,I have turned the heater down a little.
నాకు ఆకలిగా ఉంది.,మీకు ఆకలిగా ఉందని అర్థమైంది. సమీపంలోని రెస్టారెంట్లకు నావిగేషన్ సెట్ చేయనా?,I am hungry.,I understand you are hungry. Shall I set navigation to nearby restaurants?
ఇంటికి నావిగేషన్ సెట్ చేయి.,సరే. ఇంటికి నావిగేషన్ సెట్ చేస్తున్నాను.,Set navigation to home.,Okay. Setting navigation to home.
రేడియో ఆన్ చేయి.,రేడియో ఆన్ చేశాను. మీకు ఇష్టమైన స్టేషన్ ఏదైనా ఉందా?,Turn on the radio.,I have turned on the radio. Do you have a favorite station?
ఎంత దూరంలో ఉన్నాము?,గమ్యస్థానానికి ఇంకా 50 కిలోమీటర్లు ఉంది.,How far away are we?,There are still 50 kilometers to the destination.
నాకు భయంగా ఉంది.,మీకు భయంగా ఉందని తెలుస్తోంది. నేను డ్రైవింగ్ అసిస్టెన్స్ ఫీచర్‌లను యాక్టివేట్ చేయనా?,I am scared.,It sounds like you are scared. Should I activate the driving assistance features?
ఫ్రంట్ లైట్ ఆఫ్ చేయి.,ఫ్రంట్ లైట్ ఆఫ్ చేశాను.,Turn off the front light.,I have turned off the front light.
వాల్యూమ్ కొంచెం పెంచు.,వాల్యూమ్ కొంచెం పెంచాను.,Increase the volume a little.,I have increased the volume a little.
నాకు చాలా సంతోషంగా ఉంది!,విని ఆనందంగా ఉంది! మీ కోసం కొంచెం ఉత్సాహంగా ఉండే పాటను ప్లే చేస్తాను. వాల్యూమ్ పెంచనా?,I'm very happy!,Glad to hear that! I'll play a more upbeat song for you. Should I turn up the volume?
నాకు చాలా అలసటగా ఉంది.,"విశ్రాంతి తీసుకోండి. సీట్లను కొంచెం వెనక్కి వాల్చనా? అలాగే, లైట్లు మసకబారుస్తాను.",I'm very tired.,"Relax and rest. Should I recline the seats a bit? Also, I'll dim the lights."
నాకు చాలా ఒత్తిడిగా ఉంది.,మీ ఒత్తిడిని తగ్గించడానికి ప్రయత్నిస్తాను. ప్రశాంతమైన సంగీతం పెట్టనా? వాతావరణాన్ని చల్లగా ఉంచనా?,I'm very stressed.,I'll try to reduce your stress. Shall I play some calming music? And keep the environment cool?
కొంచెం సంగీతం పెట్టవా?,ఖచ్చితంగా! మీకు ఇష్టమైన శైలి ఏమిటి?,Can you play some music?,Sure! What's your preferred genre?
కిటికీలు తెరవండి.,అలాగే! అన్ని కిటికీలు తెరవబడ్డాయి.,Open the windows.,Alright! All the windows are now open.
ఏసీ ఆన్ చేయండి.,"సరే, ఏసీ ఆన్ చేయబడింది. మీకు కావలసిన ఉష్ణోగ్రత చెప్పండి.",Turn on the AC.,"Okay, the AC is on. Tell me your desired temperature."
ఉష్ణోగ్రతను 22 డిగ్రీలకి సెట్ చేయండి.,"సరే, ఉష్ణోగ్రత 22 డిగ్రీలకి సెట్ చేయబడింది.",Set the temperature to 22 degrees.,"Okay, the temperature is set to 22 degrees."
దగ్గరలో ఉన్న రెస్టారెంట్ కు దారి చూపించు.,"సరే, దగ్గరలో ఉన్న రెస్టారెంట్ల కోసం వెతుకుతున్నాను. మీరు ఏ విధమైన ఆహారం కోరుకుంటున్నారు?",Navigate to the nearest restaurant.,"Okay, searching for nearby restaurants. What kind of food are you in the mood for?"
నాకు చాలా కోపంగా ఉంది.,క్షమించండి. నేను మీకు సహాయం చేయడానికి ఏదైనా చేయగలనా? కాస్త దూర ప్రయాణం చేయాలా?,I'm very angry.,I'm sorry to hear that. Is there anything I can do to help? Perhaps a longer drive?
లైట్లు కొంచెం తగ్గించండి.,ఖచ్చితంగా! లైట్లు తగ్గించబడ్డాయి.,Dim the lights a bit.,Certainly! The lights have been dimmed.
నాకు బోర్ కొడుతోంది.,"సరే, మీ కోసం ఒక ఆడియో పుస్తకాన్ని ప్రారంభించనా?",I am bored.,"Alright, shall I start an audiobook for you?"
రేడియో వినాలని ఉంది.,"ఖచ్చితంగా, మీరు ఏ స్టేషన్ వినాలనుకుంటున్నారు?",I want to listen to the radio.,"Sure, which station would you like to listen to?"
నాకు జలుబుగా ఉంది.,క్షమించండి. వేడి చేయడం కొంచెం పెంచనా?,I am feeling cold.,I'm sorry to hear that. Should I turn up the heating a little?
వాల్యూమ్ పెంచు.,"సరే, వాల్యూమ్ పెంచాను.",Turn up the volume.,"Okay, the volume has been increased."
ముందు సీటు వెనక్కి జరపండి.,"అలాగే, ముందు సీటు వెనక్కి జరపబడింది.",Move the front seat back.,"Alright, the front seat has been moved back."
హెడ్స్ అప్ డిస్ప్లే ఆన్ చేయండి.,"సరే, హెడ్స్ అప్ డిస్ప్లే ఆన్ చేయబడింది.",Turn on the heads-up display.,"Okay, the heads-up display is now on."
నేను ఇంటికి వెళ్ళాలి.,"సరే, మీ ఇంటికి నావిగేషన్ సెట్ చేస్తున్నాను.",I need to go home.,"Okay, setting navigation to your home."
నేను ఆశ్చర్యంగా ఉన్నాను!,విని ఆనందంగా ఉంది! ఏమి జరిగిందో చెప్పండి.,I am feeling amazed!,Glad to hear that! Tell me what happened.
పాట మార్చు.,"సరే, తర్వాతి పాటను ప్లే చేస్తున్నాను.",Change the song.,"Okay, playing the next song."
సూర్యుడు చాలా ప్రకాశవంతంగా ఉన్నాడు.,"సరే, సన్ రూఫ్ మూసేస్తాను.",The sun is too bright.,"Okay, I'll close the sunroof."
నాకు చాలా సంతోషంగా ఉంది!,అది వినడానికి చాలా ఆనందంగా ఉంది! మీకు నచ్చిన పాట ఏదైనా ప్లే చేయమంటారా?,I am very happy!,That's wonderful to hear! Would you like me to play any of your favorite songs?
నేను చాలా అలసిపోయాను.,మీరు అలసిపోయారని తెలుసుకోవడం విచారంగా ఉంది. నేను మీకు ఇంటికి మార్గాన్ని సెట్ చేయనా?,I am very tired.,I'm sorry to hear you're tired. Shall I set the route to your home?
నేను చాలా ఒత్తిడిలో ఉన్నాను.,మీరు ఒత్తిడిలో ఉన్నారని తెలుసుకున్నాను. రిలాక్సింగ్ మ్యూజిక్ ప్లే చేస్తాను మరియు లైట్లను డిమ్ చేస్తాను.,I am very stressed.,I understand you're stressed. I'll play some relaxing music and dim the lights.
సంగీతం పెట్టండి.,సంగీతం పెడుతున్నాను. మీకు కావలసిన ఏదైనా ప్రత్యేకమైనది ఉందా?,Play some music.,Playing music now. Anything specific you'd like?
ఎయిర్ కండిషనర్ కొంచెం చల్లగా చేయండి.,"ఖచ్చితంగా, ఎయిర్ కండిషనర్ చల్లగా చేస్తున్నాను.",Turn the air conditioner a little colder.,"Sure, turning the air conditioner colder."
"నాకు వేడిగా ఉంది, ఉష్ణోగ్రత తగ్గించండి.",వేడిగా ఉందని తెలుసుకున్నాను. ఉష్ణోగ్రతను తగ్గిస్తున్నాను.,"I am hot, lower the temperature.",I understand you're hot. Lowering the temperature.
తలుపులు తెరవండి.,తలుపులు తెరుస్తున్నాను.,Open the windows.,Opening the windows.
వెలుతురు పెంచండి.,వెలుతురు పెంచుతున్నాను.,Increase the light.,Increasing the light.
నేను నిద్రపోతున్నాను.,మీరు నిద్రపోతున్నారని వినడానికి నాకు విచారంగా ఉంది. దగ్గరలో ఉన్న విశ్రాంతి స్థలాన్ని చూపించమంటారా?,I am falling asleep.,I'm sorry to hear you're falling asleep. Shall I show you the nearest rest stop?
నాకు కోపంగా ఉంది.,మీరు కోపంగా ఉన్నారని వినడానికి నాకు విచారంగా ఉంది. శాంతించే సంగీతం పెట్టమంటారా?,I am angry.,I'm sorry to hear you're angry. Shall I play some calming music?
ముఖ్యమైన కాల్ వస్తోంది.,కాల్ కనెక్ట్ చేస్తున్నాను.,I am getting an important call.,Connecting the call.
వాల్యూమ్ పెంచండి.,వాల్యూమ్ పెంచుతున్నాను.,Increase the volume.,Increasing the volume.
నాకు ఆకలిగా ఉంది.,ఆకలిగా ఉందని తెలుసుకున్నాను. సమీపంలోని రెస్టారెంట్లు చూపించమంటారా?,I am hungry.,I understand you're hungry. Shall I show you nearby restaurants?
నేను భయపడుతున్నాను.,మీరు భయపడుతున్నారని తెలుసుకున్నాను. మిమ్మల్ని సురక్షితంగా ఉంచడానికి నేను ఇక్కడ ఉన్నాను.,I am scared.,I understand you're scared. I am here to keep you safe.
నేను ఒక ప్రదేశానికి వెళ్లాలి.,"ఎక్కడికి వెళ్ళాలో చెప్పండి, నేను మార్గం చూపిస్తాను.",I need to go somewhere.,"Tell me where you need to go, and I'll guide you."
"వెనుక కూర్చున్న వారికి వేడిగా ఉంది, ఉష్ణోగ్రత పెంచండి.",వెనుక కూర్చున్న వారికి వేడిగా ఉందని తెలుసుకున్నాను. వెనుక భాగం యొక్క ఉష్ణోగ్రతను పెంచుతున్నాను.,"It's hot for those sitting in the back, increase the temperature.",I understand it's hot for those in the back. Increasing the temperature in the back.
సంగీతం మార్చండి.,సంగీతం మారుస్తున్నాను. మీకు నచ్చిన ఏదైనా శైలి ఉందా?,Change the music.,Changing the music. Is there any genre you prefer?
తలుపులు మూసివేయండి.,తలుపులు మూసివేస్తున్నాను.,Close the windows.,Closing the windows.
నేను చాలా ఉత్సాహంగా ఉన్నాను!,అది వినడానికి చాలా ఆనందంగా ఉంది! ఏదైనా సెలబ్రేషన్ మ్యూజిక్ ప్లే చేయమంటారా?,I am very excited!,That's wonderful to hear! Would you like me to play some celebration music?
నాకు నీళ్లు కావాలి.,నేను దగ్గరలో ఉన్న పెట్రోల్ బంక్ లేదా దుకాణంను కనుక్కొని మీకు చూపిస్తాను. అక్కడే మీకు నీళ్లు దొరుకుతాయి.,I need water.,I'll find the nearest gas station or store and show it to you. You can find water there.
నాకు చాలా సంతోషంగా ఉంది!,అది వినడానికి చాలా ఆనందంగా ఉంది! మీ కోసం కొంచెం ఉత్సాహపరిచే పాటలు ప్లే చేయనా?,I am very happy!,That's wonderful to hear! Shall I play some upbeat music for you?
నాకు చాలా అలసిపోయి ఉంది.,మీరు అలసిపోయి ఉన్నారని తెలుసుకున్నాను. సీటుని కొంచెం వెనక్కి వాల్చనా మరియు లైట్లను తగ్గించనా?,I am very tired.,I understand you are tired. Shall I recline the seat slightly and dim the lights?
నాకు చాలా కోపంగా ఉంది.,మీరు కోపంగా ఉన్నారని వినడానికి విచారంగా ఉంది. కొన్ని ప్రశాంతమైన శబ్దాలు ప్లే చేయనా లేదా నావిగేషన్‌ను ఆన్ చేయనా?,I am very angry.,I'm sorry to hear you're angry. Should I play some calming sounds or turn on the navigation?
సంగీతం పెట్టు.,తప్పకుండా! మీరు వినాలనుకుంటున్నది ఏదైనా ఉందా?,Play music.,Certainly! Is there anything specific you'd like to listen to?
ఎయిర్ కండీషనర్ కొంచెం తగ్గించు.,"సరే, నేను ఎయిర్ కండీషనర్‌ను తగ్గిస్తాను. ఇది మీకు సరిపోతుందా?",Turn down the air conditioner a little.,"Okay, I'll turn down the air conditioner. Is this comfortable for you?"
వెచ్చగా ఉంది.,"క్షమించండి, ఉష్ణోగ్రతను కొంచెం తగ్గిస్తాను.",It's hot.,"Sorry, I'll lower the temperature a bit."
కిటికీలు తెరువు.,"తప్పకుండా, ఏ విండోస్ తెరవాలి?",Open the windows.,"Certainly, which windows should I open?"
నాకు చాలా ఒత్తిడిగా ఉంది.,మీరు ఒత్తిడిలో ఉన్నారని వినడానికి విచారంగా ఉంది. నేను మిమ్మల్ని విశ్రాంతి తీసుకోవడానికి ఏదైనా చేయగలనా? బహుశా మసాజ్ సీటు?,I am very stressed.,I'm sorry to hear you're stressed. Is there anything I can do to help you relax? Perhaps the massage seat?
ఈ స్థలానికి నావిగేషన్ ప్రారంభించు.,"ఖచ్చితంగా, మీ గమ్యస్థానానికి ఉత్తమ మార్గాన్ని కనుగొంటున్నాను.",Start navigation to this place.,"Certainly, finding the best route to your destination."
లైట్లు కొంచెం వెలిగించు.,"సరే, లైట్లు వెలిగిస్తాను.",Turn up the lights a little.,"Okay, I'll turn up the lights."
నేను సరదాగా ఉన్నాను!,చాలా బాగుంది! కొన్ని వేగవంతమైన పాటలు ప్లే చేయనా?,I am having fun!,That's great! Shall I play some upbeat music?
చాలా చల్లగా ఉంది.,"క్షమించండి, ఉష్ణోగ్రతను పెంచుతాను.",It's very cold.,"Sorry, I'll increase the temperature."
ఇది ఇంటికి ఎంత దూరం?,మీ ఇల్లు మరో 20 నిమిషాల దూరంలో ఉంది.,How far is it to home?,Your home is approximately 20 minutes away.
నాకు నిద్ర వస్తోంది.,మీకు నిద్ర వస్తోందని వినడానికి విచారంగా ఉంది. మీరు విశ్రాంతి తీసుకోవడానికి ఏదైనా సహాయం చేయగలనా?,I am feeling sleepy.,I'm sorry to hear you're feeling sleepy. Is there anything I can do to help you relax?
విమానాశ్రయానికి దగ్గర మార్గం చూపించు.,"సరే, నేను విమానాశ్రయానికి దగ్గర మార్గాన్ని కనుగొంటాను.",Show me the quickest route to the airport.,"Okay, I'll find the quickest route to the airport."
రేడియో ఆన్ చేయి.,"తప్పకుండా, మీకు ఇష్టమైన స్టేషన్ ఏదైనా ఉందా?",Turn on the radio.,"Certainly, do you have a favorite station?"
సీటుని సర్దుబాటు చేయండి.,"సరే, సీటు ఎలా సర్దుబాటు చేయాలి?",Adjust the seat.,"Okay, how should I adjust the seat?"
సూర్యుడు కళ్ళకి అడ్డు వస్తున్నాడు.,నేను సన్‌రూఫ్‌ని మూసేయనా?,The sun is in my eyes.,Shall I close the sunroof?
నేను బోర్ గా ఉన్నాను.,"క్షమించండి, మీ కోసం ఏదైనా ప్లే చేయనా లేదా ఏదైనా ఆసక్తికరమైన స్థలాన్ని కనుగొననా?",I am bored.,"Sorry, shall I play something for you or find an interesting place nearby?"
ఫోన్ ఛార్జింగ్ పెట్టు.,"తప్పకుండా, మీ ఫోన్‌ని ఇక్కడ ఉంచండి.",Charge my phone.,"Certainly, please place your phone here."
నాకు చాలా అలసటగా ఉంది.,అలసటగా ఉందా? విశ్రాంతి తీసుకోవడానికి సీటును కొద్దిగా వెనక్కి వాల్చనా మరియు ఉష్ణోగ్రతను తగ్గించనా?,I am very tired.,Tired? Should I recline the seat a little to relax and lower the temperature?
నేను చాలా సంతోషంగా ఉన్నాను!,అది వినడానికి చాలా ఆనందంగా ఉంది! మీకోసం మంచి డ్యాన్స్ నెంబర్ ప్లే చేయనా?,I am very happy!,That's great to hear! Should I play a good dance number for you?
నాకు చాలా ఒత్తిడిగా ఉంది.,మీకు ఒత్తిడిగా ఉందని వినడానికి నాకు బాధగా ఉంది. శాంతించే సంగీతం ప్లే చేయనా?,I am very stressed.,I'm sorry to hear you're stressed. Shall I play some calming music?
AC ని కొంచెం పెంచండి.,"సరే, AC ని పెంచాను. ఇప్పుడు సౌకర్యంగా ఉందా?",Turn up the AC a little.,"Okay, I've turned up the AC. Are you comfortable now?"
తలుపులు మూసివేయండి.,తలుపులు మూసివేయబడ్డాయి.,Close the doors.,The doors are closed.
సంగీతం ఆపండి.,సంగీతం ఆపివేయబడింది.,Stop the music.,The music is stopped.
గమ్యస్థానానికి మార్గాన్ని చూపించు.,దయచేసి గమ్యస్థానాన్ని చెప్పండి.,Show the route to the destination.,Please tell me the destination.
ఉష్ణోగ్రతను 22 డిగ్రీలకు సెట్ చేయండి.,ఉష్ణోగ్రత 22 డిగ్రీలకు సెట్ చేయబడింది.,Set the temperature to 22 degrees.,The temperature is set to 22 degrees.
నాకు నిద్ర వస్తోంది.,నిద్ర వస్తోందా? ఇంటికి దగ్గరి మార్గం చూపించనా?,I am sleepy.,Sleepy? Should I show you the closest route home?
నేను భయంగా ఉన్నాను.,మీరు భయంగా ఉన్నారని వినడానికి నాకు బాధగా ఉంది. తలుపులు మరియు కిటికీలు లాక్ చేయబడ్డాయి. మీరు సురక్షితంగా ఉన్నారు.,I am scared.,I'm sorry to hear you're scared. The doors and windows are locked. You are safe.
విండోస్ తెరవండి.,విండోస్ తెరువబడ్డాయి.,Open the windows.,The windows are open.
వాల్యూమ్ కొంచెం తగ్గించండి.,"సరే, వాల్యూమ్ తగ్గించబడింది.",Lower the volume a little.,"Okay, the volume has been lowered."
లైట్లు ఆన్ చేయండి.,లైట్లు ఆన్ చేయబడ్డాయి.,Turn on the lights.,The lights are on.
నాకు ఆకలిగా ఉంది.,ఆకలిగా ఉందా? దగ్గరలోని రెస్టారెంట్లు చూపించనా?,I am hungry.,Hungry? Should I show you nearby restaurants?
నేను కుతూహలంగా ఉన్నాను.,కుతూహలంగా ఉందా? మీ కోసం కొన్ని ఆసక్తికరమైన విషయాలు చెప్పనా?,I am curious.,Curious? Should I tell you some interesting facts?
వాల్యూమ్ పెంచండి.,"సరే, వాల్యూమ్ పెంచాను.",Turn up the volume.,"Okay, I've turned up the volume."
హెడ్‌లైట్లు ఆన్ చేయండి.,హెడ్‌లైట్లు ఆన్ చేయబడ్డాయి.,Turn on the headlights.,The headlights are on.
వెనుకకు తిరగండి.,"సరే, వెనుకకు తిరుగుతున్నాను.",Turn back.,"Okay, I'm turning back."
వాయిస్ మార్చండి.,"సరే, వాయిస్ మార్చబడింది.",Change the voice.,"Okay, the voice has been changed."
నేను ఇక్కడ నుండి వేరే చోటికి వెళ్లాలనుకుంటున్నాను.,వేరే చోటికి వెళ్లాలనుకుంటున్నారా? మీ గమ్యస్థానం ఏమిటో చెప్పండి.,I want to go somewhere else from here.,Want to go somewhere else? Tell me your destination.
నేను చాలా సంతోషంగా ఉన్నాను!,విని సంతోషంగా ఉంది! ఈ సంతోషాన్ని రెట్టింపు చేయడానికి కొంచెం వేగంగా వెళ్దామా?,I am very happy!,Happy to hear that! Shall we go a little faster to double this happiness?
నేను చాలా అలసిపోయాను.,విశ్రాంతి తీసుకోండి. నేను స్వయంగా డ్రైవ్ చేస్తాను మరియు కుర్చీని కొంచెం వంచుతాను.,I am very tired.,Please relax. I will drive myself and recline the seat a little.
చాలా ఒత్తిడిగా ఉంది.,రిలాక్స్ అవ్వడానికి ఒక మంచి పాటను ప్లే చేయనా?,I am very stressed.,Shall I play a soothing song to relax?
నాకు ఇష్టమైన పాట పెట్టు.,తప్పకుండా! మీ ఇష్టమైన పాట మొదలుపెట్టాను.,Play my favorite song.,Sure! Started playing your favorite song.
చాలా చల్లగా ఉంది.,వెచ్చదనం కోసం ఉష్ణోగ్రతను పెంచనా?,It is very cold.,Shall I increase the temperature for warmth?
నాకు వేడిగా ఉంది.,AC ఆన్ చేయనా?,I am feeling hot.,Shall I turn on the AC?
లైట్లు వెలిగించు.,వెలిగించాను.,Turn on the lights.,Turned them on.
కిటికీలు మూసేయి.,మూసేస్తున్నాను.,Close the windows.,Closing them now.
దారి చూపు.,తప్పకుండా! ఎక్కడికి వెళ్ళాలి?,Show me the way.,Sure! Where do you want to go?
సంగీతం ఆపు.,సంగీతం ఆపేశాను.,Stop the music.,Music stopped.
నాకు విసుగ్గా ఉంది.,విసుగును తగ్గించడానికి మనం ఒక గేమ్ ఆడదామా?,I am bored.,Shall we play a game to relieve boredom?
