input,output
मैं बहुत थका हुआ महसूस कर रहा हूँ।,समझ गया। क्या मैं ड्राइविंग मोड को कम्फर्ट पर सेट कर दूं और सीट को थोड़ा झुका दूं? क्या आप चाहते हैं कि मैं निकटतम कॉफ़ी शॉप खोजूं?
"यह कमरा बहुत गर्म है, एसी चालू करो।","ज़रूर, एसी चालू किया जा रहा है। तापमान 22 डिग्री सेल्सियस पर सेट है।"
"गाना बदलो, यह मुझे पसंद नहीं आ रहा।","ठीक है, गाना बदला जा रहा है। क्या आप कोई खास शैली सुनना चाहेंगे?"
मुझे घर जाने का नेविगेशन शुरू करो।,"ज़रूर, आपके घर का नेविगेशन शुरू किया जा रहा है। अनुमानित समय 35 मिनट है।"
मुझे बहुत नींद आ रही है।,मुझे सुनकर चिंता हो रही है। क्या मैं आपको जगाने के लिए कुछ तेज़ संगीत चलाऊं या निकटतम रेस्ट स्टॉप ढूंढूं?
मुझे बहुत गुस्सा आ रहा है!,मैं समझ सकता हूँ। क्या मैं आपको शांत करने के लिए कोई ध्यान संगीत चलाऊं और सीट की मालिश शुरू करूं?
"खिड़की खोलो, मुझे ताज़ी हवा चाहिए।","ज़रूर, खिड़की खोली जा रही है।"
मुझे भूख लगी है।,ठीक है। क्या मैं आपके लिए आस-पास के रेस्टोरेंट ढूंढूं?
मुझे बहुत बोरियत हो रही है।,कोई बात नहीं। क्या मैं आपके लिए कोई पॉडकास्ट या ऑडियोबुक चलाऊं?
"यह सड़क बहुत खराब है, सस्पेंशन को कम्फर्ट मोड पर सेट करो।","ठीक है, सस्पेंशन को कम्फर्ट मोड पर सेट किया जा रहा है।"
मैं उत्साहित हूँ! आज मेरा जन्मदिन है!,जन्मदिन मुबारक हो! क्या मैं आपके लिए जन्मदिन का गाना बजाऊं?
"मुझे ठंड लग रही है, तापमान बढ़ाओ।","ज़रूर, तापमान बढ़ाया जा रहा है।"
अगले सर्विस स्टेशन के लिए नेविगेशन सेट करो।,"ज़रूर, निकटतम सर्विस स्टेशन के लिए नेविगेशन शुरू किया जा रहा है।"
"मैं डरा हुआ हूँ, बाहर बहुत अंधेरा है।",कोई बात नहीं। मैं हेडलाइट्स को तेज़ कर देता हूँ और आपको सुरक्षित महसूस कराने के लिए आसपास की जानकारी साझा करता हूँ।
"म्यूजिक बंद करो, मुझे कॉल आ रहा है।","ठीक है, म्यूजिक बंद कर दिया गया है। कॉल कनेक्ट किया जा रहा है।"
मैं बहुत निराश हूँ।,मुझे यह सुनकर खेद है। क्या मैं आपको किसी मित्र या परिवार के सदस्य को कॉल करने में मदद कर सकता हूँ?
"हेडलाइट्स चालू करो, अंधेरा हो रहा है।","ज़रूर, हेडलाइट्स चालू की जा रही हैं।"
मैं बहुत सहज महसूस कर रहा हूँ।,यह सुनकर अच्छा लगा। क्या मैं आपकी यात्रा को और अधिक आरामदायक बनाने के लिए कुछ कर सकता हूँ?
आज मैं बहुत खुश हूँ!,ये सुनकर बहुत अच्छा लगा! क्या मैं आपके लिए कोई खुशी का गाना चलाऊं?
"मेरा मूड बहुत ख़राब है, मुझे दुख हो रहा है।",मुझे सुनकर दुख हुआ। क्या मैं कमरे की लाइट कम कर दूं और कोई शांत संगीत चलाऊं? शायद इससे आपको थोड़ा आराम मिले।
मुझे बहुत थकान लग रही है।,समझ गया। क्या मैं ड्राइवर सीट को थोड़ा झुका दूं और मसाज फंक्शन चालू कर दूं? और क्या आपको कोई खास तापमान पसंद है?
मुझे बहुत गुस्सा आ रहा है!,शांत रहिए। मैं समझ सकता हूँ। क्या मैं आपको थोड़ी देर के लिए कोई कॉमेडी पॉडकास्ट चलाऊं या कोई शांत संगीत बजाऊं?
"एसी चालू करो, बहुत गर्मी लग रही है।","ज़रूर, एसी चालू कर रहा हूँ। तापमान कितना सेट करना है?"
"खिड़की खोलो, मुझे ताजी हवा चाहिए।","ठीक है, खिड़की खोल दी गई है।"
"म्यूज़िक बदलो, ये गाना मुझे पसंद नहीं है।","ठीक है, म्यूज़िक बदल रहा हूँ। क्या आप कोई खास शैली सुनना चाहेंगे?"
"नेविगेशन शुरू करो, मुझे घर जाना है।","ज़रूर, घर के लिए नेविगेशन शुरू कर दिया गया है। आपको अनुमानित आगमन समय बता रहा हूँ।"
मेरा पेट दर्द कर रहा है!,"ओह, मुझे सुनकर दुख हुआ। क्या मैं आस-पास के किसी अस्पताल या मेडिकल स्टोर के लिए नेविगेशन चालू करूँ?"
मैं बहुत तनाव में हूँ।,मैं समझता हूँ। क्या मैं आपको थोड़ी देर के लिए एक गाइडेड मेडिटेशन प्ले करूं?
गाना चलाओ!,"ज़रूर, अभी गाना चलाता हूँ। क्या आपकी कोई खास पसंद है?"
"ये लाइट बहुत तेज़ है, इसे कम करो।","ठीक है, लाइट कम कर दी गई है। क्या अब ठीक है?"
क्या समय हो रहा है?,अभी [समय] हो रहा है।
मुझे एक कॉफी शॉप ढूंढो।,"ज़रूर, आपके आस-पास की कॉफी शॉप्स ढूंढ रहा हूँ।"
मुझे ठंड लग रही है।,"ठीक है, मैं हीटर चालू कर रहा हूँ। तापमान कितना सेट करना है?"
मैं डरा हुआ हूँ।,घबराइए मत। सब ठीक है। क्या मैं आपके लिए कोई शांत कहानी सुनाऊं या कोई सुखदायक संगीत चलाऊं?
अगला पेट्रोल पंप कहाँ है?,आपके रास्ते पर अगला पेट्रोल पंप [दूरी] किलोमीटर दूर है।
मुझे भूख लग रही है।,क्या मैं आस-पास के रेस्टोरेंट ढूंढूं?
फोन करो माँ को।,माँ को कॉल लगा रहा हूँ...
आज का मौसम कैसा है?,आज [शहर] में [तापमान] तापमान है और [मौसम का विवरण] है।
आज मैं बहुत खुश हूँ!,यह सुनकर मुझे बहुत खुशी हुई! क्या मैं आपके लिए कोई खुशनुमा संगीत बजाऊं?
मुझे बहुत तनाव हो रहा है...,"मुझे यह सुनकर दुख हुआ। क्या मैं हेडरेस्ट मसाज सक्रिय करूँ और कुछ आरामदायक संगीत लगाऊं? क्या आप मुझे अपनी मंजिल बताना चाहेंगे, ताकि मैं सबसे कम तनाव वाला रास्ता ढूंढ सकूँ?"
मैं बहुत थका हुआ हूँ।,ठीक है। क्या मैं ड्राइविंग मोड को 'सहायक' पर सेट करूँ और सीट को थोड़ा झुकाऊँ? और क्या मैं आपकी पसंदीदा कॉफ़ी ऑर्डर कर दूँ अगले स्टॉप पर?
"एसी चालू करो, बहुत गर्मी है।","ज़रूर, एसी चालू किया जा रहा है। तापमान को 22 डिग्री सेल्सियस पर सेट कर दिया है। क्या आप इसे बदलना चाहेंगे?"
"म्यूजिक बदलो, यह गाना मुझे पसंद नहीं है।","ज़रूर, म्यूजिक बदल दिया गया है। क्या आप कोई खास शैली सुनना चाहेंगे?"
मुझे भूख लग रही है।,मुझे आपकी भूख का पता चला। आपके आस-पास के रेस्टोरेंट खोजे जा रहे हैं। क्या मैं आपके पसंदीदा रेस्टोरेंट की लिस्ट दिखाऊं?
"नेविगेशन शुरू करो, मुझे घर जाना है।","ज़रूर, घर के लिए नेविगेशन शुरू किया जा रहा है। अनुमानित आगमन समय 6:30 बजे है। क्या मैं आपके परिवार को आपके आगमन की जानकारी दे दूँ?"
मुझे ठंड लग रही है।,"ठीक है, मैं तापमान बढ़ा रहा हूं और सीट हीटर चालू कर रहा हूं। क्या आपको इससे आराम मिल रहा है?"
आज मूड अच्छा नहीं है.,कोई बात नहीं। क्या मैं आपके लिए प्रेरणादायक कोट्स सुनाऊं या कोई कॉमेडी पॉडकास्ट चलाऊं?
"गाड़ी रोको, मुझे उल्टी आ रही है.",मैं गाड़ी तुरंत साइड में रोकता हूँ। क्या आपको किसी मदद की ज़रूरत है?
ये ट्रैफिक बहुत बुरा है!,मैं समझता हूं। मैं वैकल्पिक रूट खोजने की कोशिश कर रहा हूं। कृपया थोड़ा धीरज रखें।
विंडशील्ड पर बर्फ जमी है.,विंडशील्ड डिफ्रॉस्टर चालू कर दिया गया है। बर्फ को पिघलने में थोड़ा समय लगेगा।
मुझे कॉफ़ी चाहिए!,आपके आस-पास की कॉफ़ी शॉप्स ढूंढ रहा हूँ। क्या मैं नेविगेशन शुरू करूँ?
"मुझे नींद आ रही है, गाडी संभालो!",मैं ड्राइविंग सहायता सक्रिय कर रहा हूँ। कृपया अपनी सीट पर सुरक्षित रहें।
"मुझे यह रास्ता पसंद नहीं है, दूसरा रास्ता दिखाओ.","ठीक है, मैं एक वैकल्पिक मार्ग खोज रहा हूं। नए रूट का पूर्वावलोकन आपके सामने है।"
ये गाना बहुत अच्छा है!,मुझे खुशी है कि आपको यह पसंद आया! क्या मैं इसे आपकी पसंदीदा प्लेलिस्ट में जोड़ूं?
"लाइट्स बंद करो, नींद आ रही है.",आंतरिक लाइट्स बंद कर दी गई हैं। क्या आपको किसी और चीज की ज़रूरत है?
मुझे कुछ आराम चाहिए.,सीट मसाज चालू कर दी गई है। क्या आप चाहते हैं कि मैं सुगंधित तेल फैलाऊं?
"अलार्म लगाओ, सुबह 6 बजे.",अलार्म सुबह 6 बजे के लिए सेट कर दिया गया है। क्या आप इसे दोहराना चाहते हैं?
मुझे गुस्सा आ रहा है!,मैं समझता हूँ। क्या मैं एक शांत संगीत चलाऊं और आपकी सीट को थोड़ा पीछे कर दूं? क्या आप मुझसे बात करना चाहेंगे?
आज बहुत थकान हो रही है।,मैं समझता हूँ। सीट को थोड़ा झुका देता हूँ और हल्की मालिश शुरू कर देता हूँ? इससे आपको आराम मिलेगा।
ये ट्रैफिक कभी खत्म नहीं होगा! बहुत तनाव हो रहा है।,"मैं समझ सकता हूँ। क्या मैं आपके लिए कोई शांतिदायक संगीत लगा दूँ? और मैंने रूट भी बदला है, ये थोड़ा लम्बा ज़रूर है पर यहाँ ट्रैफिक कम है।"
"ये गाना मुझे पसंद नहीं आ रहा, अगला लगाओ।","ज़रूर, अगला गाना बजाया जा रहा है। क्या आप कोई विशेष शैली सुनना चाहेंगे?"
"आज मौसम बहुत अच्छा है, खिड़की खोलो।","ज़रूर, खिड़की खोली जा रही है। ताज़ी हवा का आनंद लें।"
"मुझे बहुत गर्मी लग रही है, एसी चालू करो।",एसी चालू किया जा रहा है। तापमान 22 डिग्री सेल्सियस पर सेट कर दिया गया है। क्या आपको कोई और बदलाव चाहिए?
"मुझे भूख लगी है, आस-पास कोई रेस्टोरेंट दिखाओ।","आपके आस-पास कई रेस्टोरेंट हैं। क्या आप किसी विशेष प्रकार का भोजन पसंद करेंगे? जैसे भारतीय, इटैलियन, या चीनी?"
घर के लिए नेविगेशन शुरू करो।,घर के लिए नेविगेशन शुरू किया जा रहा है। अनुमानित आगमन समय 6:30 PM है।
आज मैं बहुत खुश हूँ!,यह सुनकर बहुत अच्छा लगा! क्या मैं आपके लिए कोई पसंदीदा गाना चलाऊँ? या कोई रोमांचक रूट चुनूँ?
ये स्पीड लिमिट कितनी है?,इस सड़क पर स्पीड लिमिट 60 किलोमीटर प्रति घंटा है।
"मुझे नींद आ रही है, जगाए रखना।","ठीक है, मैं आपकी गतिविधि पर नज़र रखूंगा। अगर मुझे लगे कि आप झपकी ले रहे हैं, तो मैं आपको सतर्क करने के लिए कुछ आवाज़ें बजाऊँगा।"
चार्जिंग स्टेशन ढूंढो।,आपके पास के सबसे नज़दीकी चार्जिंग स्टेशन थोड़ी दूर पर है। क्या मैं वहाँ के लिए नेविगेशन शुरू करूँ?
"मुझे कॉफी चाहिए, पास में कोई कॉफी शॉप है?","हाँ, आगे एक स्टारबक्स है। क्या मैं रास्ता दिखाऊँ?"
मैं बहुत उदास महसूस कर रहा हूँ।,मुझे सुनकर दुख हुआ। क्या मैं कुछ सुखदायक संगीत लगाऊँ और रोशनी थोड़ी कम कर दूँ? या आप किसी से बात करना चाहेंगे?
गाड़ी रोको!,गाड़ी रोकी जा रही है। क्या कोई आपातकालीन स्थिति है?
अगला मैसेज पढ़ो।,अगला मैसेज पढ़ा जा रहा है: 'मीटिंग 30 मिनट लेट शुरू होगी।' क्या मैं कोई जवाब भेजूं?
मौसम कैसा है?,"आपके गंतव्य पर मौसम धूपदार है, तापमान 28 डिग्री सेल्सियस है।"
क्या मैंने दरवाजे लॉक कर दिए?,"हाँ, दरवाजे लॉक हैं।"
"थोड़ा तेज़ चलाओ, मैं लेट हो रहा हूँ।","ठीक है, लेकिन कृपया ध्यान रखें कि मैं हमेशा सुरक्षित ड्राइविंग को प्राथमिकता देता हूँ। मैं गति बढ़ा रहा हूँ, लेकिन स्पीड लिमिट के भीतर ही रहूँगा।"
पार्किंग ढूंढो।,आपके आस-पास कई पार्किंग स्थल उपलब्ध हैं। क्या आप सबसे सस्ता विकल्प या सबसे नज़दीकी विकल्प देखना चाहेंगे?
म्यूजिक बंद करो।,म्यूजिक बंद कर दिया गया है।
आज मैं बहुत खुश हूँ!,यह सुनकर बहुत अच्छा लगा! क्या मैं आपके लिए कोई खास गाना चलाऊं जिससे आपकी खुशी और बढ़ जाए?
मुझे बहुत दुख हो रहा है...,मुझे सुनकर बहुत दुख हुआ। मैं आपकी भावनाओं को समझती हूँ। मैंने माहौल को शांत करने के लिए हल्की रोशनी कर दी है और धीमा संगीत चला दिया है। क्या आप मुझसे बात करना चाहेंगी?
मैं बहुत तनाव में हूँ।,मैं समझ सकती हूँ। क्या मैं आपके लिए कोई शांत करने वाला ध्यान (meditation) चलाऊं? या फिर कोई शांत संगीत?
मैं बहुत थका हुआ महसूस कर रहा हूँ।,कोई बात नहीं। मैंने ड्राइविंग मोड को 'रिलैक्स' पर सेट कर दिया है। अब सीट थोड़ी झुक जाएगी और मसाज शुरू हो जाएगी। क्या यह ठीक है?
खिड़की खोलो,"ज़रूर, खिड़की खोली जा रही है।"
"एसी चालू करो, बहुत गर्मी है।",एसी चालू कर दिया गया है। तापमान 22 डिग्री सेल्सियस पर सेट है। क्या आप तापमान बदलना चाहेंगे?
म्यूज़िक बदलो।,"ठीक है, म्यूज़िक बदल दिया गया है। क्या आप किसी खास तरह का संगीत सुनना चाहेंगे?"
"नेविगेशन शुरू करो, मुझे घर जाना है।",ज़रूर। आपके घर का पता सेट कर दिया गया है। अनुमानित समय 30 मिनट है। क्या आप रूट देखना चाहेंगे?
मुझे बहुत नींद आ रही है।,मुझे आपकी चिंता हो रही है। क्या मैं आपको निकटतम सुरक्षित जगह पर रोकूं जहाँ आप थोड़ा आराम कर सकें? या मैं आपको कॉफी ऑर्डर कर दूं?
लाइटें बंद करो।,"ठीक है, अंदर की लाइटें बंद कर दी गई हैं।"
"ये गाना मुझे पसंद नहीं, स्किप करो।","ठीक है, गाना स्किप कर दिया गया है। अगला गाना बजाया जा रहा है।"
मुझे भूख लग रही है।,मैं आपके आस-पास के रेस्टोरेंट ढूंढ रही हूँ। क्या आप किसी खास तरह का खाना खाना चाहेंगे?
मुझे प्यास लगी है।,क्या आप चाहते हैं कि मैं आपके लिए पानी ऑर्डर कर दूं? या मैं आपको निकटतम स्टोर दिखाऊं?
मुझे ठंड लग रही है।,"कोई बात नहीं, हीटर चालू कर दिया गया है। तापमान 24 डिग्री सेल्सियस पर सेट है। क्या आप तापमान बदलना चाहेंगे?"
सीट थोड़ी आगे करो।,सीट आगे कर दी गई है। क्या आप और आगे करना चाहेंगे?
म्यूजिक थोड़ा तेज करो।,म्यूजिक थोड़ा तेज कर दिया गया है। वॉल्यूम अब 70% पर है।
आज मेरा दिन बहुत बुरा था।,मुझे यह सुनकर दुख हुआ। क्या मैं आपको कोई मजेदार कहानी सुनाऊं या कुछ प्रेरणादायक बोलूं?
"मुझे रास्ते के बारे में कुछ पता नहीं है, क्या तुम मेरी मदद कर सकते हो?","ज़रूर, मैं यहाँ मदद करने के लिए हूँ। कृपया अपना गंतव्य बताएं।"
मुझे ये ट्रैफिक से नफ़रत है!,मैं समझ सकती हूँ। मैंने रूट बदलने की कोशिश की है ताकि आप कम ट्रैफिक वाले रास्ते से जा सकें। क्या आप नया रूट देखना चाहेंगे?
अलार्म बंद करो!,अलार्म बंद कर दिया गया है।
आज मैं बहुत थका हुआ महसूस कर रहा हूँ।,मैं समझ सकता हूँ। आपके घर के लिए मार्ग निर्धारित कर रहा हूँ। क्या आप चाहते हैं कि मैं आरामदायक संगीत बजाऊं और आंतरिक तापमान थोड़ा कम कर दूं?
ये ट्रैफिक बहुत तनावपूर्ण है!,"हाँ, मुझे भी लग रहा है। मैं वैकल्पिक मार्ग खोजने की कोशिश कर रहा हूँ। इस बीच, क्या मैं आपके लिए कोई शांत संगीत बजाऊं या मालिश सीट चालू करूँ?"
"मुझे बहुत खुशी हो रही है, आज मेरा प्रमोशन हो गया!",बधाई हो! यह सुनकर बहुत खुशी हुई। मैं आपके पसंदीदा गाने बजाता हूँ और मूड को सेलिब्रेट करते हैं!
"एसी चालू करो, मुझे गर्मी लग रही है।","ज़रूर, एसी चालू किया जा रहा है। तापमान 22 डिग्री सेल्सियस पर सेट कर दिया गया है। क्या आप इसे बदलना चाहते हैं?"
"म्यूज़िक बदलो, ये गाना मुझे पसंद नहीं आ रहा।","ठीक है, म्यूज़िक बदल दिया गया है। क्या आप किसी विशेष शैली या कलाकार को सुनना चाहेंगे?"
"नेविगेशन शुरू करो, मुझे घर जाना है।",घर के लिए नेविगेशन शुरू कर दिया गया है। अनुमानित आगमन समय 6:30 बजे है। क्या आप इस मार्ग की पुष्टि करते हैं?
मेरा सर दर्द कर रहा है।,मुझे सुनकर दुख हुआ। क्या मैं हल्की रोशनी चालू करूँ और शांत संगीत बजाऊं? मैं आपको निकटतम फार्मेसी भी दिखा सकता हूँ।
"खिड़की खोलो, ताजी हवा चाहिए।",खिड़की खोली जा रही है। क्या आप केवल ड्राइवर साइड या दोनों खिड़कियाँ खोलना चाहते हैं?
"मुझे भूख लग रही है, आस-पास कोई अच्छा रेस्टोरेंट दिखाओ।","आपके आस-पास कुछ अच्छे रेस्टोरेंट हैं। क्या आप किसी विशेष प्रकार का भोजन ढूंढ रहे हैं? जैसे कि भारतीय, इटैलियन या चाइनीज?"
मुझे बहुत बोरियत हो रही है।,मुझे समझ में आ रहा है। क्या मैं आपके लिए कोई मनोरंजक पॉडकास्ट या ऑडियोबुक चलाऊं?
मुझे ठंड लग रही है।,"ठीक है, हीटर चालू किया जा रहा है। तापमान को 24 डिग्री सेल्सियस पर सेट कर दिया गया है। क्या आप इसे बढ़ाना चाहते हैं?"
"ये सड़क बहुत खराब है, मुझे चक्कर आ रहे हैं।",मुझे खेद है। मैं एक बेहतर मार्ग खोजने की कोशिश कर रहा हूँ। कृपया धीरज रखें।
आज का मौसम बहुत अच्छा है!,"हाँ, बिल्कुल! क्या आप छत खोलना चाहेंगे और धूप का आनंद लेना चाहेंगे?"
मुझे नींद आ रही है।,"सुरक्षा कारणों से, मैं आपको गाड़ी रोकने की सलाह देता हूँ। निकटतम सुरक्षित स्थान के लिए नेविगेट किया जा रहा है।"
"म्यूज़िक बंद करो, मुझे कॉल करना है।",म्यूज़िक बंद कर दिया गया है। आप कॉल करने के लिए तैयार हैं।
"ये बैटरी कम है, मुझे चार्जिंग स्टेशन ढूंढना है।","ज़रूर, मैं आपके आस-पास के चार्जिंग स्टेशनों को खोज रहा हूँ और उन्हें नेविगेट कर रहा हूँ।"
"मैं बहुत उत्साहित हूँ, कल मेरी शादी है!",वाह! बहुत-बहुत बधाई! मैं आपको आपके विशेष दिन के लिए शुभकामनाएं देता हूँ।
मुझे गुस्सा आ रहा है।,मैं समझ सकता हूँ। क्या मैं आपके लिए सुखदायक संगीत बजाऊं या कोई मजेदार चुटकुला सुनाऊं?
"लाइटें बंद करो, बहुत तेज रोशनी है।",लाइटें बंद कर दी गई हैं। क्या आपको किसी और चीज की आवश्यकता है?
"मुझे ये गाना बहुत पसंद है, इसे फिर से चलाओ।","बेशक, गाना फिर से चलाया जा रहा है।"
आज मैं बहुत खुश हूँ!,यह सुनकर बहुत खुशी हुई! क्या आप चाहते हैं कि मैं आपकी खुशी को और बढ़ाने के लिए कोई खास संगीत बजाऊं?
मुझे बहुत थकान महसूस हो रही है।,समझ गया। मैं सीटों को थोड़ा पीछे कर देता हूँ और हल्की मालिश शुरू कर देता हूँ? इससे आपको थोड़ा आराम मिलेगा।
मैं बहुत तनाव में हूँ...,"मुझे सुनकर दुख हुआ। क्या मैं आसपास के स्पा या शांत जगह के लिए नेविगेशन शुरू करूँ? या फिर, मैं आरामदायक संगीत लगा सकता हूँ।"
यह गाना मुझे पसंद नहीं आ रहा।,"ठीक है, मैं इसे बदल देता हूँ। क्या आप किसी विशेष शैली या कलाकार को सुनना चाहेंगे?"
"एसी चालू करो, बहुत गर्मी लग रही है!",एसी चालू कर दिया गया है। क्या तापमान ठीक है या मैं इसे और कम करूँ?
"खिड़की खोलो, मुझे ताज़ी हवा चाहिए।",खिड़की खोली जा रही है। कृपया ध्यान रखें कि बाहर का तापमान आरामदायक हो।
मुझे एक अच्छे रेस्टोरेंट में ले चलो।,ज़रूर! क्या आप किसी विशेष प्रकार के भोजन या कीमत सीमा की तलाश में हैं?
"नेविगेशन शुरू करो, मुझे घर जाना है।",घर का रास्ता सेट कर दिया गया है। अनुमानित आगमन समय [अनुमानित समय] है। क्या आप कोई वैकल्पिक मार्ग देखना चाहेंगे?
"म्यूज़िक बंद करो, मुझे शांति चाहिए।",संगीत बंद कर दिया गया है। क्या मैं किसी और चीज़ में आपकी मदद कर सकता हूँ?
मुझे प्यास लग रही है।,"मुझे समझ में आ रहा है। मेरे पास पानी की बोतलें हैं, क्या आप एक चाहेंगे?"
आज मूड बहुत खराब है।,यह सुनकर मुझे दुख हुआ। क्या मैं सीटों की मालिश चालू कर दूं या फिर कोई पसंदीदा पॉडकास्ट लगाऊं?
आगे ट्रैफिक जाम है क्या?,"हाँ, आगे लगभग 2 किलोमीटर तक ट्रैफिक जाम है। क्या आप वैकल्पिक मार्ग देखना चाहेंगे?"
"आवाज बढ़ाओ, गाना सुनाई नहीं दे रहा।",आवाज बढ़ा दी गई है। क्या यह स्तर ठीक है?
मुझे नींद आ रही है।,मैं समझता हूँ। क्या मैं आपको सबसे नज़दीकी रेस्ट स्टॉप दिखाऊं? या मैं कैफीनयुक्त पेय ढूंढने में आपकी सहायता कर सकता हूँ?
यह रास्ता बहुत उबाऊ है।,"मैं सहमत हूँ। क्या मैं आपको कोई रोमांचक मार्ग दिखाऊं, भले ही इसमें थोड़ा अधिक समय लगे?"
"गर्मी कम करो, बहुत गर्मी लग रही है।",तापमान कम कर दिया गया है। अब कैसा लग रहा है?
मुझे किसी से बात करनी है।,मैं आपकी संपर्क सूची से किसे कॉल करूं?
"अलार्म लगाओ, मुझे सुबह 6 बजे उठना है।",सुबह 6 बजे का अलार्म सेट कर दिया गया है। क्या आप और कोई सेटिंग बदलना चाहेंगे?
"हेडलाइट्स चालू करो, अंधेरा हो रहा है।",हेडलाइट्स चालू कर दी गई हैं। क्या मैं स्वचालित हाई बीम को भी सक्रिय करूँ?
क्या बैटरी चार्ज है?,बैटरी 78% चार्ज है। क्या आप चाहते हैं कि मैं आपके लिए पास का चार्जिंग स्टेशन ढूंढूं?
आज मैं बहुत खुश हूँ!,शानदार! सुनकर बहुत खुशी हुई। क्या मैं आपके लिए कोई पसंदीदा गाना बजाऊं जिससे आपकी खुशी और बढ़ जाए?
"मुझे बहुत थकान हो रही है, घर चलो।","ज़रूर, घर का रास्ता सेट कर दिया गया है। क्या आप हल्की मालिश सुविधा शुरू करना चाहेंगे?"
मेरा मूड बहुत खराब है यार!,मैं समझ सकती हूँ। क्या मैं सुखदायक संगीत चलाऊं और केबिन की रोशनी थोड़ी हल्की कर दूं? शायद इससे थोड़ा बेहतर महसूस हो।
"एसी चालू करो, बहुत गर्मी है।","ज़रूर, एसी चालू कर दिया गया है। तापमान 22 डिग्री सेल्सियस पर सेट है। क्या आप इसे बदलना चाहेंगे?"
"मुझे बहुत तनाव हो रहा है, ऑफिस का बहुत काम है!",मैं समझती हूँ। क्या मैं आपको कुछ शांत करने वाले ऑडियो ट्रैक्स सुनाऊं? या क्या आप किसी दोस्त या परिवार के सदस्य को कॉल करना चाहेंगे?
"म्यूज़िक बदलो, ये गाना अच्छा नहीं लग रहा।","ठीक है। क्या आप कोई खास शैली सुनना चाहेंगे, या मैं आपके लिए कुछ नया चलाऊं?"
"नेविगेशन शुरू करो, मुझे एयरपोर्ट जाना है।","ज़रूर, एयरपोर्ट के लिए नेविगेशन शुरू कर दिया गया है। अनुमानित समय 45 मिनट है। क्या आप रास्ते में किसी खास जगह पर रुकना चाहेंगे?"
"मेरी आँखें जल रही हैं, ये रोशनी बहुत तेज़ है।","माफ़ कीजिए, मैं तुरंत रोशनी कम कर देती हूँ। क्या अब बेहतर है?"
"मुझे भूख लग रही है, आस-पास कोई ढाबा ढूंढो।","ज़रूर, आस-पास के ढाबों की लिस्ट आपकी स्क्रीन पर है। क्या आप रेटिंग के अनुसार सॉर्ट करना चाहेंगे?"
"थोड़ा तेज़ चलाओ, मुझे देर हो रही है।","मैं समझती हूँ, लेकिन मैं सुरक्षा का भी ध्यान रखूंगी। क्या आप चाहती हैं कि मैं आपको सबसे तेज़ मार्ग दिखाऊं, भले ही उसमें थोड़ा ट्रैफिक हो?"
"आज बारिश का मौसम है, और मैं उदास हूँ।",बारिश निश्चित रूप से उदासी ला सकती है। मैं आपके लिए कोई रोमांटिक गाना चलाऊं? या फिर गरमा गरम कॉफी का ऑर्डर करूँ?
"शीशे साफ करो, कुछ दिख नहीं रहा।",विंडशील्ड वाइपर शुरू कर दिए गए हैं। क्या अब बेहतर है?
"मुझे नींद आ रही है, थोड़ा मनोरंजन करो।","ठीक है, मैं आपके लिए कोई दिलचस्प पॉडकास्ट चलाऊं? या क्या आप कोई गेम खेलना चाहेंगे?"
ये क्या ट्रैफिक है! मुझे गुस्सा आ रहा है।,"मैं समझ सकती हूँ, ट्रैफिक बहुत निराशाजनक होता है। क्या मैं आपको कुछ कॉमेडी शो सुनाऊं जिससे आपका ध्यान थोड़ा बंट जाए?"
ये गाना बहुत पसंद है! वॉल्यूम बढ़ाओ!,"ज़रूर, वॉल्यूम बढ़ा दिया गया है। रॉक ऑन!"
मुझे घर पर कॉल करना है।,"किसको कॉल करना है, बताइए। क्या मम्मी को कॉल लगा दूँ?"
"खिड़की खोलो, ताज़ी हवा चाहिए।",खिड़की खोल दी गई है। क्या आप दूसरी खिड़की भी खोलना चाहेंगे?
